Date,Price,Open,High,Low,Vol.,Change %
03/01/18,74.07,75.26,76.15,73.42,4.57M,-1.83%
03/02/18,74.77,73.71,75.25,73.19,3.98M,0.95%
03/05/18,74.76,74.3,75.59,74.22,3.70M,-0.01%
03/06/18,74.58,74.35,75.6,74.18,4.05M,-0.24%
03/07/18,73.42,73.75,74.34,72.51,5.41M,-1.56%
03/08/18,79.72,85.05,85.07,79.06,39.82M,8.58%
03/09/18,80.75,80,81.13,79.66,9.34M,1.29%
03/12/18,78.25,80.61,80.67,78.25,7.19M,-3.10%
03/13/2018,77,78.52,78.73,76.71,8.00M,-1.60%
03/14/2018,76.7,77.24,77.54,75.9,8.37M,-0.39%
03/15/2018,76.33,76.62,77.03,76,4.03M,-0.48%
03/16/2018,76.02,76.85,76.91,75.89,5.62M,-0.41%
03/19/2018,72.99,75.78,75.85,72.88,7.89M,-3.99%
03/20/2018,72.42,73.53,73.86,72.21,6.36M,-0.78%
03/21/2018,71.68,72.2,72.82,71.57,5.99M,-1.02%
03/22/2018,70.47,71.18,71.98,70.36,4.63M,-1.69%
03/23/2018,70.16,70.55,71.14,69.77,5.22M,-0.44%
03/26/2018,71.7,70.66,71.88,69.22,7.63M,2.19%
03/27/2018,70.37,71.93,72.52,69.94,6.23M,-1.85%
03/28/2018,69.73,70.56,70.95,69.7,5.57M,-0.91%
03/29/2018,69.08,70.21,70.49,69,4.56M,-0.93%
04/02/18,67.87,68.89,68.94,66.93,4.45M,-1.75%
04/03/18,69.01,68.18,69.83,67.34,2.92M,1.68%
04/04/18,70.04,68.4,71.02,68.05,6.81M,1.49%
04/05/18,69.18,70.28,70.64,69.02,3.21M,-1.23%
04/06/18,67.88,68.69,69.29,67.37,3.20M,-1.88%
04/09/18,68.03,68.23,69.5,67.75,4.43M,0.22%
04/10/18,69.82,68.6,70.19,68.4,3.69M,2.63%
04/11/18,69.72,69.26,70.03,69,2.87M,-0.14%
04/12/18,71.61,69.98,72.17,69.9,3.75M,2.71%
04/13/2018,71.62,71.9,72.48,71.05,2.93M,0.01%
