"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 01, 2018","193.42","195.41","196.13","191.69","1.74M","-1.26%"
"Mar 02, 2018","193.06","192.79","193.69","191.18","884.57K","-0.19%"
"Mar 05, 2018","192.34","191.84","193.27","189.64","951.73K","-0.37%"
"Mar 06, 2018","194.13","192.81","194.31","190.96","1.07M","0.93%"
"Mar 07, 2018","194.25","192.50","194.43","192.03","1.28M","0.06%"
"Mar 08, 2018","172.00","182.21","182.57","171.06","17.36M","-11.45%"
"Mar 09, 2018","173.36","173.10","174.69","172.06","6.22M","0.79%"
"Mar 12, 2018","167.31","173.57","173.60","167.05","8.53M","-3.49%"
"Mar 13, 2018","164.39","167.52","168.00","163.02","7.18M","-1.75%"
"Mar 14, 2018","166.88","164.72","167.62","163.60","4.87M","1.51%"
"Mar 15, 2018","166.90","167.71","169.58","166.77","4.29M","0.01%"
"Mar 16, 2018","168.67","167.80","169.17","166.77","3.91M","1.06%"
"Mar 19, 2018","166.44","168.38","169.02","165.47","3.80M","-1.32%"
"Mar 20, 2018","165.00","166.93","167.26","164.36","3.87M","-0.87%"
"Mar 21, 2018","167.05","165.61","169.56","164.31","5.67M","1.24%"
"Mar 22, 2018","165.34","166.09","167.45","164.82","4.24M","-1.02%"
"Mar 23, 2018","164.00","165.82","166.84","164.00","3.33M","-0.81%"
"Mar 26, 2018","168.68","165.01","168.87","164.11","3.10M","2.85%"
"Mar 27, 2018","165.54","169.12","170.13","164.28","4.07M","-1.86%"
"Mar 28, 2018","168.32","166.25","169.64","165.50","3.04M","1.68%"
"Mar 29, 2018","167.74","168.86","169.39","167.02","2.74M","-0.34%"
"Apr 02, 2018","164.65","168.85","169.40","163.80","2.76M","-1.84%"
"Apr 03, 2018","167.85","165.25","168.60","165.25","1.70M","1.94%"
"Apr 04, 2018","168.79","165.55","169.61","165.50","2.53M","0.56%"
"Apr 05, 2018","169.03","169.67","169.98","167.88","1.43M","0.14%"
"Apr 06, 2018","167.82","168.28","169.87","166.73","1.63M","-0.72%"
"Apr 09, 2018","167.94","168.71","169.90","167.79","1.48M","0.07%"
"Apr 10, 2018","169.85","169.73","170.80","167.60","1.80M","1.14%"
"Apr 11, 2018","169.00","168.66","169.88","168.16","1.73M","-0.50%"
"Apr 12, 2018","170.56","169.75","171.21","168.74","3.04M","0.92%"
